#ZJHHY
A|农、林、牧、渔业
T1202|通信设备
T1203|半导体
T1204|元器件
T1205|软件服务
T1206|互联网
T13|综合类
T1301|综合类
######
#SWHY
110000|农业
110100|种植业
110101|种子生产
110102|粮食种植
110103|其他种植业
110200|渔业
110201|海洋捕捞
110202|水产养殖
110300|林业
110301|林业
110400|饲料
110401|饲料
110500|农产品加工
110501|果蔬加工
110502|粮油加工
110504|其他农产品加工
110600|农业综合
110601|农业综合
110700|畜禽养殖
110701|畜禽养殖
110800|动物保健
110801|动物保健
210000|采掘
210100|石油开采
210101|石油开采
210200|煤炭开采
210201|煤炭开采
210202|焦炭加工
210300|其他采掘
210301|其他采掘
210400|采掘服务
210401|油气钻采服务
210402|其他采掘服务
220000|化工
220100|石油化工
220101|石油加工
220103|石油贸易
220200|化学原料
220201|纯碱
220202|氯碱
220203|无机盐
220204|其他化学原料
220300|化学制品
220301|氮肥
220302|磷肥
220303|农药
220304|日用化学
220305|涂料油漆油墨
220306|钾肥
220307|民爆用品
220308|纺织化学用品
220309|其他化学制品
220310|复合肥
220311|氟化工
220312|磷化工
220400|化学纤维
220401|涤纶
220402|维纶
220403|粘胶
220404|其他纤维
220405|氨纶
220500|塑料
220501|其他塑料制品
220502|合成革
220503|改性塑料
220600|橡胶
220601|轮胎
220602|其他橡胶制品
220603|炭黑
220700|化工新材料
220701|其他化工新材料
220702|聚氨酯
220703|玻纤
230000|钢铁
230100|钢铁
230101|普钢
230102|特钢
240000|有色
240100|有色金属
240102|铝
240103|铜
240104|铅锌
240105|黄金
240106|小金属
240200|金属非金属
240201|金属新材料
240202|磁性材料
240203|非金属新材料
250000|建筑
250100|建筑材料
250101|玻璃制造
250102|水泥制造
250103|陶瓷制造
250104|其他建材
250105|耐火材料
250106|管材
250200|建筑装饰
250202|装饰园林
250203|房屋建筑
250204|基础建筑
250205|专业工程
260000|机械
260100|通用机械
260101|机床工具
260102|机械基础件
260103|磨具磨料
260104|内燃机
260105|制冷空调设备
260106|其他通用机械
260200|专用设备
260201|纺织服装设备
260202|工程机械
260203|农用机械
260204|重型机械
260205|冶金矿采化工设备
260206|印刷包装机械
260207|其他专用机械
260208|楼宇设备
260209|环保设备
260300|仪器仪表
260301|仪器仪表
260400|电气设备
260401|电机
260402|电气自控设备
260403|电源设备
260404|输变电设备
260405|其他变电设备
260500|金属制品
260501|金属制品
270000|电子
270100|半导体
270101|集成电路
270102|分立器件
270103|半导体材料
270200|元件
270202|印制电路板
270203|被动元件
270300|光学光电子
270301|显示器件
270302|LED
270303|光学元件
270400|其他电子
270401|其他电子
270500|电子制造
270501|电子系统组装
270502|电子零部件制造
310000|交运
310100|汽车整车
310101|乘用车
310102|商用载货车
310103|商用载客车
310104|专用汽车
310200|汽车部件
310201|汽车部件
310300|非汽车交运
310301|摩托车
310304|航空
310305|船舶
310306|铁路设备
310307|其他交运设备
310400|交运服务
310401|汽车服务
310402|其他交运服务
320000|IT设备
320100|通信设备
320102|终端设备
320103|通信传输设备
320104|通信配套服务
320200|计算机设备
320201|计算机设备
330000|家电
330100|白色家电
330101|冰箱
330102|空调
330103|洗衣机
330104|小家电
330105|其他白色家电
330200|视听器材
330201|彩电
330202|其他视听器材
340000|食品
340300|饮料制造
340301|白酒
340302|啤酒
340303|其他酒类
340304|软饮料
340305|葡萄酒
340306|黄酒
340400|食品加工
340401|肉制品
340402|调味发酵品
340403|乳品
340404|食品综合
350000|纺织
350100|纺织制造
350101|毛纺
350102|棉纺
350103|丝绸
350104|印染
350105|辅料
350106|其他纺织
350200|服装家纺
350202|男装
350203|女装
350204|休闲装
350205|鞋帽
350206|家纺
350207|其他服装
360000|轻工
360100|造纸
360101|造纸
360200|包装印刷
360201|包装印刷
360300|家用轻工
360302|家具
360303|其他家用轻工
360304|珠宝首饰
360305|文娱用品
360400|其他轻工
360401|其他轻工
370000|医药
370100|化学制药
370101|化学原料药
370102|化学制剂
370200|中药
370201|中药
370300|生物制品
370301|生物制品
370400|医药商业
370401|医药商业
370500|医疗器械
370501|医疗器械
370600|医疗服务
370601|医疗服务
410000|公用
410100|电力
410101|火电
410102|水电
410103|燃机发电
410104|热电
410200|水务
410201|水务
410300|燃气
410301|燃气
410400|环保工程
410401|环保工程
420000|交通
420100|港口
420101|港口
420200|高速公路
420201|高速公路
420300|公交
420301|公交
420400|航空运输
420401|航空运输
420500|机场
420501|机场
420600|航运
420601|航运
420700|铁路运输
420701|铁路运输
420800|物流
420801|物流
430000|地产
430100|房地产开发
430101|房地产开发
430200|园区开发
430201|园区开发
440000|金融
440100|银行
440101|银行
440200|多元金融
440201|多元金融
440300|证券
440301|证券
440400|保险
440401|保险
450000|商贸
450100|零售
450101|百货零售
450102|专业连锁
450103|商业物业经营
450200|贸易
450201|贸易
460000|旅游
460100|景点
460101|人工景点
460102|自然景点
460200|酒店
460201|酒店
460300|旅游综合
460301|旅游综合
460400|餐饮
460401|餐饮
470000|服务
470100|通信运营
470101|通信运营
470200|网络服务
470201|互联网信息服务
470202|移动增值服务
470203|其他网络服务
470204|有线电视
470300|计算机应用
470302|软件开发
470303|系统集成
470400|传媒
470401|平面媒体
470402|影视动漫
470403|营销服务
470404|其他传媒
510000|综合
510100|综合
510101|综合
######
#HKHY
101000|能源业
101001|石油天然气
101002|煤炭
102000|原材料业
102001|黄金贵金属
102002|一般金属
102003|原材料
103000|工业
103001|工业工程
103002|工用运输
103003|工用支援
106000|电讯业
106001|电讯
107000|公用事业
107001|公用事业
108000|金融业
108001|银行
108002|保险
108003|其他金融
109000|地产建筑业
109001|地产
109002|建筑
110000|资讯科技业
110001|资讯科技
110002|软件服务
110003|半导体
111000|综合企业
111001|综合企业
113000|非必需消费
113001|汽车
113002|家电及用品
113003|纺织服饰
113004|旅游及消闲
113005|媒体及娱乐
113006|支援服务
113007|专业零售
114000|必需性消费
114001|食物饮品
114002|农业产品
114003|主要零售商
115000|医疗保健业
115001|药品及生科
115002|其他医疗保健
######
#MGHY
1|基础材料
11|化工
12|能源  
13|金属采矿  
2|综合企业
21|综合企业  
3|消费用品
31|耐用消费品  
32|非耐用消费
33|汽车  
34|食品饮料  
35|烟草  
4|金融
41|银行  
42|金融服务  
43|保险  
44|房地产  
5|医疗保健
51|制药  
52|健康服务  
6|工业用品
61|航天防务  
62|工业  
63|材料建筑  
7|服务
71|休闲  
72|传媒
73|零售  
74|专业零售  
75|批发  
76|综合服务  
77|交通运输  
8|科技
81|计算机硬件  
82|软件服务  
83|电子  
84|通讯  
85|互联网  
9|公用事业
91|公用事业  
######
#SGXHY
10|能源
1001|石油和天然气
1002|其他能源
11|基础材料
1101|建筑材料
1102|化学制品
1103|金属与采矿
1104|钢铁
1105|林业产品
12|工业
1201|航空航天与国防
1202|交通运输
1203|建筑
1204|工业产品
1205|综合企业
1206|商业服务
1207|农业和重型机械
1208|工业分销
1209|废物管理
13|通讯
1301|多元化媒体
1302|互动媒体
1303|电信服务
14|公用事业
1401|公用事业
15|金融
1501|资产管理
1502|银行
1503|资本市场
1504|信贷
1505|保险
16|房地产
1601|房地产
1602|房地产投资信托
17|科技
1701|硬件
1702|软件
1703|半导体
18|周期性消费
1801|服装及配饰制造
1802|周期性零售
1803|汽车与零件
1804|家具灯具与家电
1805|旅游与休闲
1806|包装与容器
1807|个性化服务
1808|餐厅
19|非周期性消费
1901|非酒精饮料
1902|酒精饮料
1903|消费品包装
1904|教育
1905|防御性零售
20|医疗保健
2001|医学诊断与研究
2002|药品制造商
2003|医疗服务
2004|医疗设备与器械
2005|医疗分销
######
#FUND_LB
003001|定开基金
003002|开放式
003003|LOF
003004|ETF
003008|QDII
003011|FOF
003012|REITs
003013|MOM
######
#FUND_TZLB
004001|股票型
004002|债券型
004003|混合型
004004|货币型
004007|商品型
004006|基金型
004008|净值货币型
######
#ZB_GPXT
1|1|MACD金叉
2|2|MACD死叉
3|2|MACD顶背离
4|1|MACD底背离
5|1|EXPMA金叉
6|2|EXPMA死叉
10|1|KDJ金叉
11|2|KDJ死叉
12|1|KDJ底背离
13|2|KDJ顶背离
20|2|上穿BOLL上轨
21|1|跌破BOLL下轨
31|1|多头排列
32|2|空头排列
33|0|均线粘合
50|1|向上突破平台
51|2|向下突破平台
52|0|平台整理
60|1|底部反转
61|2|高位回落
70|1|放量上攻
71|2|放量下挫
80|1|价量齐升
81|2|价量齐跌
90|1|温和放量上攻
91|2|温和放量下跌
92|0|阶段放量
93|0|阶段缩量
94|2|顶部放量
95|2|顶部缩量
96|1|底部放量
97|1|底部缩量
######
#FUND_TZStyle
005001|普通股票型
005002|复制指数型
005003|增强指数型
005004|平衡混合型
005005|偏股混合型
005006|偏债混合型
005007|保本型
005008|中短期纯债型
005009|长期纯债型
005010|一级债基
005011|二级债基
005012|债券指数型
005013|基金型
005014|货币型
005015|短期理财债券
005016|贵金属商品
005017|其他商品
######
#FUND_Company
9900006225|华融证券
9900022147|国金基金
9900022507|德邦基金
9900017727|平安大华基金
9900021508|财通基金
9900021829|方正富邦基金
9900019728|富安达基金
9900015857|浙商基金
9900016888|西部利得基金
9900000041|信达澳亚基金
9900003002|诺德基金
9900003461|金元顺安基金
9900004383|浦银安盛基金
9900004441|农银汇理基金
9900005499|民生加银基金
9900021482|长安基金
9900022315|安信基金
9900022919|红塔红土基金
9900023292|华宸未来基金
9900025175|太平基金
9900025283|前海开源基金
9900025323|泰康资管
9900025382|江信基金
9900025453|华润元大基金
9900025646|东海基金
9900025897|英大基金
9900025898|中加基金
9900026037|兴业基金
9900027035|国开泰富基金
9900027036|中信建投基金
9900027625|兴银基金
9900026588|中融基金
9900022559|东方证券资管
9900027614|国寿安保基金
9900027308|永赢基金
9900027118|上银基金
9900027067|鑫元基金
9900027958|圆信永丰基金
9900028398|北信瑞丰基金
9900028118|中金基金
9900029088|九泰基金
9900029154|创金合信基金
9900029229|嘉合基金
9900030377|泓德基金
9900031036|红土创新基金
9900031050|金信基金
9900031314|新沃基金
9900031678|新疆前海联合基金
9900031880|摩根基金(亚洲)
9900032049|行健资管
9900032713|富荣基金
9900033549|华泰保兴基金
9900033680|鹏扬基金
9900033978|南华基金
9900031644|中科沃土基金
9900033259|先锋基金
9900034148|恒生前海基金
9900034237|汇安基金
9900033023|中航基金
9900033930|格林基金
9900035466|博海汇金资管
9900035744|合煦智远基金
9900035745|博道基金
9900035746|东方阿尔法基金
9900036215|施罗德投资管理
9900036033|恒越基金
9900036740|弘毅远方基金
9900035727|凯石基金
9900035734|国融基金
9900037100|蜂巢基金
9900037457|中庚基金
9900037458|湘财基金
9900037675|汇丰投资(香港)
9900037883|中泰证券资管
9900037923|睿远基金
9900008427|东兴证券
jjjl0000031|华夏基金
jjjl0000032|华安基金
jjjl0000033|南方基金
jjjl0000034|国泰基金
jjjl0000035|博时基金
jjjl0000036|鹏华基金
jjjl0000037|嘉实基金
jjjl0000038|长盛基金
jjjl0000039|大成基金
jjjl0000040|富国基金
jjjl0000041|易方达基金
jjjl0000042|银华基金
jjjl0000043|融通基金
jjjl0000044|宝盈基金
jjjl0000045|长城基金
jjjl0000046|国投瑞银基金
jjjl0000047|海富通基金
jjjl0000049|银河基金
jjjl0000050|万家基金
jjjl0000051|国联安基金
jjjl0000059|泰达宏利基金
jjjl0000060|招商基金
jjjl0000061|金鹰基金
jjjl0000062|华宝基金
jjjl0000063|景顺长城基金
jjjl0000065|广发基金
jjjl0000067|摩根华鑫基金
jjjl0000069|长信基金
jjjl0000071|泰信基金
jjjl0000072|中银基金
jjjl0000073|天治基金
jjjl0000074|申万菱信基金
jjjl0000077|兴全基金
jjjl0000078|诺安基金
jjjl0000079|东方基金
jjjl0000080|摩根基金
jjjl0000081|光大保德信基金
jjjl0000082|华泰柏瑞基金
jjjl0000083|中海基金
jjjl0000084|国海富兰克林基金
jjjl0000085|天弘基金
jjjl0000086|新华基金
jjjl0000087|东吴基金
jjjl0000088|华富基金
jjjl0000089|汇添富基金
jjjl0000090|工银瑞信基金
jjjl0000091|华商基金
jjjl0000092|益民基金
jjjl0000096|交银施罗德基金
jjjl0000097|建信基金
jjjl0000098|汇丰晋信基金
jjjl0000099|信诚基金
jjjl0000100|中邮创业基金
jjjl0000101|中欧基金
qsgn0000279|山西证券
gfbj0870488|国都证券
qsgn0000638|中银国际证券
GD081202|浙商证券资管
GD028463|中国人保资管
GD121423|长江证券资管
GD121416|华泰证券资管
GD121415|财通证券资管
QF000028|东亚联丰
QF000114|东方汇理资管
QF000179|惠理香港
9900038644|朱雀基金
9900038920|同泰基金
9900039373|淳厚基金
9900042415|西藏东财基金
9900039924|博远基金
9900038878|国新国证基金
9900037459|惠升基金
9900042416|明亚基金
9900040327|海通国际资管
9900042417|达诚基金
gssh0600030|中信证券
9900047346|兴华基金
9900047095|东兴基金
9900030278|申万宏源证券
9900021222|方正证券
9900003683|信达证券
9900004122|太平洋
9900048495|安信资管
9900051626|瑞达基金
GD065121|上海国泰海通资管
GD102399|兴证资管
GD107024|广发资管
GD121420|上海光大资管
GD121421|上海海通资管
GD121424|招商资管
QF000184|海通国际资产(香港)
QF000227|博时基金(国际)
qsgn0000421|中金公司
qsgn0000505|华安证券
qsgn0000533|天风证券
qsgn0000884|中信建投
9900053074|贝莱德基金
9900052975|百嘉基金
9900052491|汇泉基金
qsgn0000069|第一创业
qsgn0000067|东莞证券
qsgn0000040|东海证券
qsgn0000325|东吴证券
gssz0000750|国海证券
qsgn0000343|国联证券
9900004734|国信证券
gssz0000728|国元证券
qsgn0000255|平安证券
9900053076|尚正基金
fzqy1062189|天风证券资管
9900053075|易米基金
GD121422|银河金汇资管
qsgn0000030|长城证券
fzqy1026016|东证融汇资管
fzqy1062303|德邦资管
qsgn0000517|上海证券
qsgn0000639|华创证券
qsgn0000520|华鑫证券
qsgn0000704|万联证券
qsgn0000802|中原证券
qsgn0000885|中金财富证券
QF000165|中银国际
QF000312|中银香港
9900053496|兴合基金
QF000207|华夏基金（香港）
qsgn0000240|南京证券
GD028893|建银国际
GD084693|恒生投资
QF000204|易方达香港
9900054757|泉果基金
qsgn0000360|湘财证券
QF000009|瑞士百达
gssh0600369|西南证券
qsgn0000644|西部证券
qsgn0000654|财信证券
qsgn0000647|财达证券
9900011307|恒泰证券
9900053495|泰康基金
qsgn0000170|粤开证券
qsgn0000810|诚通证券
9900053850|路博迈基金
9900053492|富达基金
QF000211|瑞银香港
QF000569|高腾国际
QF000447|弘收投资管理(香港)
fzqy1069381|华安资管
fzqy1069141|国联资管
fzqy1068651|国信资管
fzqy1067951|山证资管
9900062220|中信证券资管
9900059736|申万宏源证券资管
9900059554|安联基金
9900058134|联博基金
9900057696|苏新基金
9900057695|汇百川基金
9900057693|施罗德基金
9900054032|华西基金
9900061423|财信基金
9900060174|鹏安基金
######
#SBHY_TZ
10|能源
1010|能源
101010|传统能源设备
10101010|石油与天然气钻井
10101011|石油天然气设备与服务
101011|新能源设备
10101110|新能源设备与服务
101012|石油天然气与燃料
10101210|综合性石油与天然气企业
10101211|石油与天然气的勘探与生产
10101212|石油与天然气的炼制和营销
10101213|石油与天然气的储存和运输
10101214|煤与消费用燃料
11|原材料
1110|原材料
111010|化学制品
11101010|商品化工
11101011|多种化学制品
11101012|化肥与农用药剂
11101013|工业气体
11101014|特种化学制品
111011|建筑材料
11101110|建筑材料
111012|容器与包装
11101210|金属与玻璃容器
11101211|纸材料包装
111013|金属与采矿
11101310|铝
11101311|多种金属与采矿
11101312|铜
11101313|黄金
11101314|贵重金属与矿石
11101315|钢铁
111014|新材料
11101410|新型功能材料
11101411|先进结构材料
11101412|高性能复合材料
11101413|前沿新材料
111015|纸类与林业产品
11101510|林业产品
11101511|纸制品
12|工业
1210|资本品
121010|航空航天与国防
12101010|航天航空与国防
121011|建筑产品
12101110|建筑产品
121012|建筑与工程
12101210|建筑与工程
121013|电气设备
12101310|电气部件与设备
12101311|重型电气设备
121014|工业集团企业
12101410|工业集团企业
121015|机械制造
12101510|建筑、农用机械与重型卡车
12101511|工业机械
121016|贸易公司与经销商
12101610|贸易公司与经销商
1211|商业和专业服务
121110|商业服务与用品
12111010|商业印刷
12111011|环境与设施服务
12111012|办公服务与用品
12111013|综合支持服务
12111014|安全和报警服务
121111|专业服务
12111110|人力资源与就业服务
12111111|调查和咨询服务
1212|运输
121210|航空货运与物流
12121010|航空货运与物流
121211|航空公司
12121110|航空公司
121212|海运
12121210|海运
121213|公路与铁路
12121310|铁路
12121311|陆运
121214|交通基本设施
12121410|机场服务
12121411|公路与铁路
12121412|海港与服务
13|非日常生活消费品
1310|汽车与汽车零部件
131010|汽车零配件
13101010|机动车零配件与设备
13101011|轮胎与橡胶
131011|汽车
13101110|汽车制造商
13101111|摩托车制造商
1311|耐用消费品与服装
131110|家庭耐用消费品
13111010|消费电子产品
13111011|家庭装饰品
13111012|家用电器
13111013|家用器具与特殊消费品
131111|休闲设备与用品
13111110|消闲用品
13111111|摄影产品
131112|纺织服装与奢侈品
13111210|服装与配饰
13111211|奢侈品
13111212|鞋类
13111213|纺织品
1312|消费者服务
131210|酒店餐馆与休闲
13121010|酒店、度假村与豪华游轮
13121011|消闲设施
13121012|餐馆
131211|综合消费者服务
13121110|教育服务
13121111|特殊消费者服务
1313|媒体
131310|媒体
13131010|广告
13131011|电影与娱乐
13131012|出版
1314|零售业
131410|经销商
13141010|经销商
131411|互联网零售
13141110|售货目录零售
13141111|互联网零售
131412|多元化零售
13141210|百货商店
13141211|综合货品商店
131413|专营零售
13141310|服装零售
13141311|电脑与电子产品零售
13141312|家庭装潢零售
13141313|专卖店
13141314|汽车零售
13141315|家庭装饰零售
14|日常消费品
1410|食品与主要用品零售
141010|食品与用品零售
14101010|药品零售
14101011|食品分销商
14101012|食品零售
14101013|大卖场与超市
1411|食品、饮料与烟草
141110|饮料
14111010|啤酒酿造商
14111011|白酒酿造商
14111012|软饮料生产商
14111013|其他酿酒商
141111|食品
14111110|农产品
14111111|包装食品与肉类
141112|烟草
14111210|烟草
1412|家庭与个人用品
141210|居家用品
14121010|居家用品
141211|个人用品
14121110|个人用品
15|医疗保健
1510|医疗保健设备
151010|医疗保健设备用品
15101010|医疗保健设备
15101011|医疗保健用品
151011|医疗保健提供商
15101110|保健护理产品经销商
15101111|保健护理服务
15101112|保健护理机构
151012|医疗保健技术
15101210|医疗保健技术
1511|制药、生物科技和生命科学
151110|生物科技
15111010|生物科技
151111|制药
15111110|化学原料药
15111111|化学制剂
15111112|中药
15111113|兽药
151112|生命科学
15111210|生命科学工具和服务
16|金融
1610|银行业
161010|银行业存款类
16101010|银行
16101011|信用合作社
16101012|财务公司
161011|银行业非存款类
16101110|信托公司
16101111|金融资产管理公司
16101112|贷款公司
16101113|担保公司
16101114|金融租赁
1611|证券期货业
161110|证券期货业
16111010|证券公司
16111011|基金管理公司
16111012|期货公司
16111013|私募基金管理人
16111014|投资咨询公司
1612|保险业
161210|保险业
16121010|保险业
1613|其他金融
161310|其他金融
16131010|其他金融
17|信息技术
1710|软件与服务
171010|互联网软件与服务
17101010|互联网软件与服务
17101011|云计算及其他云端服务
171011|信息技术服务
17101110|信息科技咨询和系统集成服务
17101111|物联网技术与服务
17101112|数据处理与外包服务
171012|软件
17101210|应用软件
17101211|系统软件
17101212|家庭娱乐软件
1711|技术硬件与设备
171110|电脑与外围设备
17111010|电脑硬件
17111011|电脑存储与外围设备
171111|电子设备和元件
17111110|分析检测用电子设备与仪器及其他
17111111|智能电子识别设备
17111112|其他电子元器件
17111113|电子制造服务
17111114|技术产品经销商
171112|办公电子设备
17111210|办公电子设备
1712|半导体产品与设备
171210|半导体产品与设备
17121010|半导体设备
17121011|半导体产品
18|电信业务
1810|电信业务
181010|综合电信业务
18101010|非传统电信运营商
18101011|综合电信业务
181011|无线电信业务
18101110|无线电信业务
1811|通信设备及服务
181110|通信设备及服务
18111010|通信设备
18111011|通信技术服务
1812|广播、有线和卫星电视
181210|有线和卫星电视
18121010|广播
18121011|有线和卫星电视
19|公用事业
1910|公用事业
191010|电力公用事业
19101010|电力公用事业
191011|燃气公用事业
19101110|燃气公用事业
191012|复合型公用事业
19101210|复合型公用事业
191013|水公用事业
19101310|水公用事业
191014|独立电力能源商
19101410|独立电力生产商与能源贸易商
191015|热力公用事业
19101510|热力公用事业
20|房地产
2010|房地产
201010|房地产管理和开发
20101010|多样化房地产活动
20101011|房地产经营公司
20101012|房地产开发
20101013|房地产服务
#SBQS_TZ
qsgn0000647|财达证券
qsgn0000869|华林证券
qsgn0000515|五矿证券
9900004734|国信证券
qsgn0000076|兴业证券
gssh0600109|国金证券
qsgn0000140|华西证券
qsgn0000343|国联证券
9900009527|日信证券
qsgn0000067|东莞证券
qsgn0000499|华龙证券
qsgn0000802|中原证券
qsgn0000533|天风证券
9900019168|国开证券
qsgn0000118|招商证券
9900004122|太 平 洋
qsgn0000516|首创证券
qsgn0000885|中投证券
9900019116|英大证券
qsgn0000435|民族证券
qsgn0000325|东吴证券
gssz0000750|国海证券
qsgn0000744|国都证券
qsgn0000517|上海证券
qsgn0000030|长城证券
qsgn0000085|光大证券
qsgn0000656|金元证券
qsgn0000301|申万宏源
qsgn0000654|财富证券
qsgn0000704|万联证券
qsgn0000638|中银国际
qsgn0000513|渤海证券
qsgn0000884|中信建投证券
9900021222|方正证券
qsgn0000360|湘财证券
gssz0000686|东北证券
qsgn0000197|世纪证券
qsgn0000639|华创证券
qsgn0000807|德邦证券
qsgn0000040|东海证券
qsgn0000705|大通证券
qsgn0000803|国盛证券
qsgn0000473|中山证券
qsgn0000520|华鑫证券
9900025164|东方花旗
qsgn0000646|恒泰证券
qsgn0000507|同信证券
qsgn0000161|华泰证券
qsgn0000512|中国银河
9900013443|中航证券
9900003683|信达证券
qsgn0000120|江海证券
qsgn0000883|川财证券
qsgn0000808|财通证券
qsgn0000240|南京证券
qsgn0000168|民生证券
9900006225|华融证券
qsgn0000810|新时代证券
qsgn0000421|中金公司
qsgn0000109|广州证券
qsgn0000116|国泰海通
qsgn0000279|山西证券
9900009687|上海华信
qsgn0000651|爱建证券
qsgn0000641|红塔证券
qsgn0000255|平安证券
gssz0000776|广发证券
gssh0600369|西南证券
qsgn0000203|浙商证券
qsgn0000644|西部证券
9900001763|安信证券
gssh0600030|中信证券
gssz0000783|长江证券
qsgn0000069|第一创业
qsgn0000505|华安证券
qsgn0000071|华福证券
qsgn0000702|中泰证券
gssh0600837|海通证券
9900008427|东兴证券
gssz0000728|国元证券
######
#TDXXHYFL
H01|能源
H0101|煤炭
H010101|煤炭开采
H010102|焦炭加工
H0102|电力
H010201|水力发电
H010202|火力发电
H010203|新型电力
H0103|石油
H010301|石油开采
H010302|石油加工
H010303|石油贸易
H02|材料
H0201|钢铁
H020101|铁矿
H020102|普钢
